country_year,country,year,electexec,electleg,electboth,v2xel_elecpres,v2xel_elecparl,AF.el_rating,PEI.el_rating,VDEM.el_rating,PEI.EMB_cap,VDEM.EMB_cap,PEI.protest,VDEM.turnout,VDEM.VAP_turnout,nelda17,nelda18,nelda11,nelda45,nelda46,nelda3,nelda4,nelda5,nelda29,nelda30,POLITY5.fragment,POLITY5.polity2,POLITY5.durable,POLITY5.parcomp,FH.fh_total,WB.GDP_ppc,WB.FDI,WB.inflation,WB.gini,WB.urban_pop,literacy_imputed,VDEM.yrs_education,press_freedom,VDEM.elec_viol,VDEM.international_monitors_present,VDEM.access_to_public_services_social_group,VDEM.access_to_public_services_pol_group,VDEM.regime_support_by_an_ethnic_group,VDEM.is_an_ethnic_group_the_most_powerful_regime_support_group,VDEM.is_an_ethnic_group_the_most_powerful_regime_duration_group,VDEM.el_rating.lagged,income_level,fh_level
Cote d'Ivoire-2020,Cote d'Ivoire,2020,NA,NA,NA,1,0,NA,NA,1.192,NA,3.362,NA,53.9,26.89,0,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,9,2313.79338827553,508531022.5,2.42500656821829,NA,51.706,89.8934173583984,3.78,NA,0.853,1,1.252,1.653,0.6,0,0,2.886,"$3,140 - $1,220",2
Cote d'Ivoire-2021,Cote d'Ivoire,2021,NA,NA,NA,0,1,NA,NA,1.192,NA,3.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.78,NA,1.106,NA,1.252,1.653,NA,0,0,1.192,NA,NA
Democratic Republic of the Congo-2006,Democratic Republic of the Congo,2006,No,No,No,1,1,NA,NA,2.346,NA,0.954,NA,70.54,61.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.546,NA,1.483,1,-0.991,-0.903,0.273,0,0,NA,NA,NA
Democratic Republic of the Congo-2011,Democratic Republic of the Congo,2011,No,No,No,1,1,NA,NA,1.757,NA,0.848,NA,59.05,55.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.592,NA,1.367,1,-0.991,-0.903,0.273,0,0,2.346,NA,NA
Democratic Republic of the Congo-2018,Democratic Republic of the Congo,2018,NA,NA,NA,1,1,NA,NA,1.652,NA,0.515,NA,45.4,41.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.592,NA,1.253,1,-0.991,-0.903,0.273,0,0,1.757,NA,NA
Djibouti-2003,Djibouti,2003,No,Yes,No,0,1,NA,NA,1.223,NA,1.594,NA,48.42,23.56,0,1,1,1,1,1,1,1,0,NA,0,1,4,3,10,NA,14224542.9634089,1.98196734627542,NA,76.67,NA,NA,55,3.793,1,-0.67,-0.453,0.571,0,1,NA,NA,3
Djibouti-2005,Djibouti,2005,Yes,No,No,1,0,NA,NA,0.993,NA,1.594,NA,78.9,54.08,1,1,1,1,1,1,1,0,1,0,0,2,6,3,10,NA,22203341.1920932,3.104966401483,NA,76.761,NA,NA,33,3.612,1,-0.67,-0.453,0.571,0,1,1.223,NA,3
Djibouti-2008,Djibouti,2008,No,Yes,No,0,1,NA,NA,1.002,NA,1.594,NA,72.61,27.72,0,0,1,1,0,1,1,1,0,NA,0,2,9,3,10,NA,227654582.182184,11.9586206896552,NA,76.899,NA,NA,31,3.619,1,-0.67,-0.453,0.571,0,1,0.993,NA,3
Djibouti-2011,Djibouti,2011,Yes,No,No,1,0,NA,NA,1.207,NA,1.638,NA,75.45,25.98,0,0,1,1,0,1,1,1,0,NA,0,2,12,3,11,NA,79000230.6986794,5.06871394777984,NA,77.064,NA,NA,NA,3.636,1,-0.613,-0.453,0.571,0,1,1.002,NA,3
Djibouti-2013,Djibouti,2013,NA,NA,NA,0,1,NA,2.2,1.487,20.1875,1.638,32.5,69.16,26.82,1,0,1,1,0,1,1,1,1,1,0,3,14,0,11,2386.2481879402,286004467.676864,2.70603242872186,44.1,77.222,NA,NA,70.34,3.221,1,-0.613,-0.453,0.571,0,1,1.207,"$3,140 - $1,220",3
Djibouti-2016,Djibouti,2016,NA,NA,NA,1,0,NA,3.1666667,1.484,36.458332,1.849,46.458332,69.26,24.73,1,0,1,1,0,1,1,1,0,NA,0,3,17,0,11,2789.69381039298,159997974.353059,2.73841208738761,NA,77.528,NA,NA,NA,3.437,1,-0.613,-0.453,0.571,0,1,1.487,"$3,140 - $1,220",3
Djibouti-2018,Djibouti,2018,NA,NA,NA,0,1,NA,3.3333333,1.377,34.375,1.828,43.75,61.78,21.48,NA,0,1,1,0,1,1,1,0,NA,0,3,19,0,11,3088.5637801271,170000000,0.147970849877116,NA,77.777,NA,NA,70.77,3.444,1,-0.613,-0.453,0.571,0,1,1.484,"$3,140 - $1,220",3
Djibouti-2021,Djibouti,2021,NA,NA,NA,1,0,NA,NA,1.38,NA,1.732,NA,76.44,27.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.62,3.468,1,-0.613,-0.453,NA,0,0,1.377,NA,NA
Egypt-2000,Egypt,2000,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,1,1,1,0,NA,0,-6,48,2,11,2610.47649769732,1235000000,2.68380535348548,NA,42.797,67.3318710327148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$3,140 - $1,220",3
Egypt-2001,Egypt,2001,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-6,49,2,12,2651.86551548459,509900000,2.26975720475954,NA,42.843,67.3318710327148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$3,140 - $1,220",4
Egypt-2004,Egypt,2004,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-6,52,2,11,2758.56642773719,1253300000,11.270619332052,31.8,42.981,67.3318710327148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$3,140 - $1,220",3
Egypt-2005,Egypt,2005,Yes,Yes,Yes,1,1,NA,NA,0.742,NA,0.661,NA,28.13,19.75,0,0,1,1,1,1,1,1,0,NA,0,-3,0,3,11,2830.35013833779,5375600000,4.86939696871988,NA,43.027,67.3318710327148,7.275,NA,1.803,1,0.088,-0.322,0,0,0,NA,"$3,140 - $1,220",3
Egypt-2007,Egypt,2007,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,NA,1,1,1,0,NA,0,-3,2,3,11,3126.27499807474,11578100000,9.31896905799228,NA,43.078,72.0478515625,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.742,"$3,140 - $1,220",3
Egypt-2010,Egypt,2010,No,Yes,No,0,1,NA,NA,0.353,NA,0.722,NA,34.95,28.37,0,0,1,0,NA,1,1,1,0,NA,0,-3,5,3,11,3485.28219813521,6385600000,11.2651882653186,30.2,43.019,72.0478515625,7.72,NA,1.63,0,0.088,-0.322,0,0,0,NA,"$16,400 - $3,140",3
Egypt-2011,Egypt,2011,No,Yes,No,0,1,NA,NA,0.582,NA,1.471,NA,62.04,54.99,0,1,1,1,1,1,1,1,0,NA,0,-2,6,0,11,3472.59829308025,-482700000,10.0649259874818,NA,43,73.865592956543,7.72,NA,1.585,0,0.088,-0.322,0,0,0,0.353,"$16,400 - $3,140",3
Egypt-2012,Egypt,2012,Yes,NA,No,1,0,NA,NA,2.809,NA,1.594,NA,51.85,49.62,0,1,1,1,1,1,1,1,0,NA,0,-3,0,NA,10,3472.1482980304,2797700000,7.11172943343078,28.3,42.946,73.865592956543,7.72,NA,1.504,1,0.088,-0.322,0.001,0,0,0.582,"$16,400 - $3,140",3
Egypt-2014,Egypt,2014,NA,NA,NA,1,0,NA,4.8333335,1.581,40.572918,1.172,56.09375,48.5,47.14,1,0,1,1,1,1,1,1,1,1,0,-4,1,2,11,3489.86412365968,4612200000,10.0702154687482,NA,42.839,71.1682510375977,7.72,NA,1.801,1,0.088,-0.322,0.091,0,0,2.809,"$16,400 - $3,140",3
Egypt-2015,Egypt,2015,NA,NA,NA,0,1,NA,4.5,1.334,45.677082,1.172,57.447918,28.27,27.46,0,0,0,1,1,1,1,1,0,NA,0,-4,2,2,11,3562.93265798423,6925200000,10.370490343517,31.8,42.785,71.1682510375977,7.72,NA,1.837,1,0.088,-0.322,0.091,0,0,1.581,"$16,400 - $3,140",3
Egypt-2018,Egypt,2018,NA,NA,NA,1,0,NA,2.5714285,0.245,32.5,1.253,58.526787,41.05,39.9,0,0,1,1,0,0,1,1,0,NA,0,-4,5,2,12,3831.19983491505,8141300000,14.4014657807421,NA,42.704,71.1682510375977,7.72,NA,2.299,0,0.088,-0.322,0.091,0,0,1.334,"$16,400 - $3,140",4
Egypt-2020,Egypt,2020,NA,NA,NA,0,1,NA,NA,0.676,NA,1.011,NA,29.07,28.82,0,0,1,1,0,1,1,1,0,NA,NA,NA,NA,NA,12,4028.42091976109,5851800000,5.04493288977533,NA,42.783,71.1682510375977,7.72,NA,2.819,1,0.088,-0.322,0.111,0,0,0.245,"$16,400 - $3,140",4
Equatorial Guinea-2002,Equatorial Guinea,2002,Yes,No,No,1,0,NA,NA,0.866,NA,1.351,NA,97.79,78.94,1,0,1,1,NA,1,1,1,0,NA,0,-6,33,2,13,8003.96177858715,323391507.5,7.59247849833242,NA,52.573,94.3705368041992,NA,44.75,3.159,1,-1.101,-0.817,0.25,0,1,NA,"$16,400 - $3,140",4
Equatorial Guinea-2004,Equatorial Guinea,2004,No,Yes,No,0,1,NA,NA,0.881,NA,1.351,NA,96.45,74.58,1,0,1,1,1,1,1,1,0,NA,0,-6,35,2,13,11558.6754236884,340914468.5,4.21968787094834,NA,56.033,94.3705368041992,NA,44,3.136,0,-1.101,-0.817,0.25,0,1,0.866,"$16,400 - $3,140",4
Equatorial Guinea-2008,Equatorial Guinea,2008,No,Yes,No,0,1,NA,NA,0.455,NA,1.351,NA,NA,NA,1,0,1,1,1,1,1,1,0,NA,0,-6,39,2,14,16438.6414745572,-793872332.8,6.55176691184536,NA,62.745,94.3705368041992,NA,65.5,2.444,0,-1.101,-0.817,0.2,0,1,0.881,"$16,400 - $3,140",4
Equatorial Guinea-2009,Equatorial Guinea,2009,Yes,No,No,1,0,NA,NA,0.454,NA,1.351,NA,93.35,83.03,1,0,1,1,1,1,1,1,0,NA,0,-6,40,2,14,15906.4965908617,1636219625,4.6910656774738,NA,64.358,94.3705368041992,NA,79,2.444,0,-1.101,-0.817,0.2,0,1,0.455,"$16,400 - $3,140",4
Equatorial Guinea-2013,Equatorial Guinea,2013,NA,NA,NA,0,1,NA,1.9,0.439,12.5,1.351,48.96875,NA,NA,0,0,1,1,1,1,1,1,0,NA,0,-6,44,2,14,13421.5657576366,582948701.9,2.94887694639657,NA,69.544,94.3705368041992,NA,67.95,2.43,1,-1.222,-0.817,0.2,0,1,0.454,"$16,400 - $3,140",4
Equatorial Guinea-2016,Equatorial Guinea,2016,NA,NA,NA,1,0,NA,2,0.453,24.955357,1.351,56.919643,92.7,74.6,0,1,1,1,1,1,1,1,0,NA,0,-6,47,2,14,9894.00629387915,53998812.9,1.41193915479014,NA,71.138,94.3705368041992,NA,NA,2.416,1,-1.222,-0.817,0.2,0,1,0.439,"$16,400 - $3,140",4
Equatorial Guinea-2017,Equatorial Guinea,2017,NA,NA,NA,NA,NA,NA,1.8181819,NA,14.772727,NA,45.795456,NA,NA,0,1,1,1,0,1,1,1,0,NA,0,-6,48,2,14,8986.95103523832,304827249.5,0.745599218497516,NA,71.646,94.3705368041992,NA,66.47,NA,NA,NA,NA,NA,NA,NA,0.453,"$16,400 - $3,140",4
Ethiopia-2000,Ethiopia,2000,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,0,NA,0,1,5,3,10,262.025313364975,134639999.9,0.66245810926647,NA,14.74,35.9000015258789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$627 - $262,3
Ethiopia-2005,Ethiopia,2005,No,Yes,No,0,1,NA,NA,1.816,NA,1.348,NA,82.6,66.19,1,1,0,1,1,1,1,1,1,1,0,-3,0,3,10,310.482649763526,265111675.482385,12.944879209999,NA,15.7,29.8203392028809,NA,75,1.366,1,-1.587,-0.922,0.4,1,0,NA,$627 - $262,3
Ethiopia-2010,Ethiopia,2010,No,Yes,No,0,1,NA,NA,0.93,NA,1.269,NA,93.44,71.17,1,0,1,1,1,1,1,1,0,NA,0,-3,5,3,12,453.29882929109,288271568.250744,8.13694113083096,33.2,17.319,51.7711791992188,NA,NA,1.8,1,-1.408,-0.922,0.2,1,0,1.816,$627 - $262,4
Ethiopia-2015,Ethiopia,2015,NA,NA,NA,0,1,NA,1.5882353,1.148,13.371711,1.837,41.085526,93.22,70.09,1,0,1,1,NA,1,1,1,NA,NA,0,-3,10,3,13,640.541923075422,2626517918.313,9.56889955968618,35,19.428,51.7711791992188,NA,45.13,2.439,1,-1.408,-0.922,0.3,1,0,0.93,"$1,220 - $627",4
Ethiopia-2021,Ethiopia,2021,NA,NA,NA,0,1,NA,NA,2.247,NA,2.96,NA,93.64,63.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.63,1.923,1,-0.516,-0.788,NA,0,0,1.148,NA,NA
Gabon-2001,Gabon,2001,No,Yes,No,0,1,NA,NA,1.702,NA,1.115,NA,NA,NA,0,0,1,1,1,1,1,1,0,NA,0,-4,10,2,9,7866.61354514162,-100615451.014713,2.13762052701467,NA,79.633,82.2837982177734,4.991,20.5,1.318,1,0.259,-0.848,0,0,0,NA,"$16,400 - $3,140",2
Gabon-2005,Gabon,2005,Yes,No,No,1,0,NA,NA,1.655,NA,1.115,NA,63.47,42.98,1,0,0,1,1,1,1,1,1,1,0,-4,14,2,10,7504.25995868094,326161877.897877,3.70833333333304,42.2,82.452,82.2837982177734,5.308,28.5,1.111,1,0.259,-0.848,0,0,0,1.702,"$16,400 - $3,140",3
Gabon-2006,Gabon,2006,No,Yes,No,0,1,NA,NA,1.654,NA,1.115,NA,NA,NA,1,0,0,1,1,1,1,1,1,1,0,-4,15,2,10,7091.72004198845,267805000,-1.40940136600983,NA,83.107,82.2837982177734,5.387,31.5,1.11,1,0.259,-0.848,0,0,0,1.655,"$16,400 - $3,140",3
Gabon-2009,Gabon,2009,Yes,No,No,1,0,NA,NA,1.646,NA,1.115,NA,44.29,40.01,0,1,1,1,0,1,1,1,1,1,0,3,0,3,11,6634.71867702502,635674956.848352,1.88570754577918,NA,84.955,82.2837982177734,5.625,28.75,1.114,1,0.259,-0.848,0,0,0,1.654,"$16,400 - $3,140",3
Gabon-2011,Gabon,2011,No,Yes,No,0,1,NA,NA,1.567,NA,1.169,NA,34.28,28.24,0,0,1,1,0,1,1,1,1,0,0,3,2,3,11,7086.38778211358,1123536918.98497,1.2633170783742,NA,86.092,82.2837982177734,5.704,NA,1.095,1,0.678,-0.848,0,0,0,1.646,"$16,400 - $3,140",3
Gabon-2016,Gabon,2016,NA,NA,NA,1,0,1.5454,2.8888888,2.005,18.75,1.029,20.76389,59.46,41.89,0,0,0,1,1,1,1,1,1,1,0,3,7,3,11,7313.13996521451,1243660160,2.1067071278405,NA,88.559,84.6671600341797,5.704,NA,0.719,1,0.678,-0.848,0,0,0,1.567,"$16,400 - $3,140",3
Gabon-2018,Gabon,2018,NA,NA,NA,0,1,NA,2.5,1.829,17.1875,1.89,32.8125,58.63,33.87,1,0,1,1,0,1,1,1,0,NA,0,3,9,3,12,7019.8275539348,1379070816,4.74906652083221,NA,89.37,84.6671600341797,5.704,32.37,2.159,1,0.678,-0.848,0,0,0,2.005,"$16,400 - $3,140",4
Gambia-2001,Gambia,2001,Yes,No,No,1,0,NA,NA,1.704,NA,1.856,NA,89.71,61.32,1,0,0,1,1,1,1,1,0,NA,0,-5,4,2,NA,NA,NA,NA,NA,NA,NA,2.788,NA,2.561,1,-0.347,-0.059,0.429,0,0,NA,NA,NA
Gambia-2002,Gambia,2002,No,Yes,No,0,1,NA,NA,2.29,NA,1.856,NA,56.38,13.88,1,0,0,1,1,1,1,1,0,NA,0,-5,5,2,NA,NA,NA,NA,NA,NA,NA,2.878,NA,2.73,1,-0.347,-0.059,0.429,0,0,1.704,NA,NA
Gambia-2006,Gambia,2006,Yes,No,No,1,0,NA,NA,1.486,NA,1.856,NA,58.58,50.66,1,0,0,1,1,1,1,1,0,NA,0,-5,9,2,NA,NA,NA,NA,NA,NA,NA,3.238,NA,2.316,1,-0.347,-0.059,0.444,0,0,2.29,NA,NA
Gambia-2007,Gambia,2007,No,Yes,No,0,1,NA,NA,1.504,NA,1.856,NA,41.7,32.75,0,0,0,0,NA,1,1,1,0,NA,0,-5,10,2,NA,NA,NA,NA,NA,NA,NA,3.328,NA,2.346,0,-0.347,-0.059,0.444,0,0,1.486,NA,NA
Gambia-2011,Gambia,2011,Yes,No,No,1,0,NA,NA,1.519,NA,1.856,NA,82.55,73.53,0,0,1,1,0,1,1,1,0,NA,0,-5,14,2,NA,NA,NA,NA,NA,NA,NA,3.598,NA,2.358,1,-0.122,-0.059,0.333,0,0,1.504,NA,NA
Gambia-2012,Gambia,2012,No,Yes,No,0,1,NA,NA,1.519,NA,1.856,NA,19.44,16.83,1,0,1,1,0,1,1,1,0,NA,0,-5,15,2,NA,NA,NA,NA,NA,NA,NA,3.598,NA,2.379,1,-0.122,-0.059,0.333,0,0,1.519,NA,NA
Gambia-2016,Gambia,2016,NA,NA,NA,1,0,7.24159,7.3333335,2.073,69.44444,2.205,42.256943,59.35,47.04,0,0,1,1,1,1,1,1,1,1,0,-5,19,2,NA,NA,NA,NA,NA,NA,NA,3.598,NA,2.557,1,-0.122,-0.059,0.333,0,0,1.519,NA,NA
Gambia-2017,Gambia,2017,NA,NA,NA,0,1,NA,7.3333335,2.459,68.75,2.251,67.5,42,32.33,0,0,0,1,1,1,1,1,1,1,0,4,0,0,NA,NA,NA,NA,NA,NA,NA,3.598,NA,2.568,1,0.44,0.93,0.229,0,0,2.073,NA,NA
Gambia-2021,Gambia,2021,NA,NA,NA,1,0,NA,NA,3.766,NA,2.458,NA,89.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.598,NA,3.008,1,0.378,0.843,NA,0,0,2.459,NA,NA
Ghana-2000,Ghana,2000,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,1,1,1,1,1,0,2,4,4,5,1040.63409900461,165900000,40.2409331239139,NA,43.929,57.8974685668945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$1,220 - $627",1
Ghana-2004,Ghana,2004,No,No,No,1,1,NA,NA,3.497,NA,3.395,NA,85.12,79.98,0,0,0,1,1,1,1,1,0,NA,0,8,3,4,4,1138.65837035507,139270000,18.0427388232565,NA,46.63,71.4970703125,5.418,15,2.649,1,0.334,1.803,0.4,0,1,NA,"$1,220 - $627",1
Ghana-2008,Ghana,2008,No,No,No,1,1,7.55617,NA,3.855,NA,3.395,NA,72.91,69.84,0,1,1,1,1,1,1,1,0,NA,0,8,7,4,3,1319.17358896451,2714916343.69978,16.494639613412,NA,49.351,71.4970703125,5.546,6,2.935,1,0.334,1.803,0.364,0,1,3.497,"$3,140 - $1,220",1
Ghana-2012,Ghana,2012,No,No,No,1,1,NA,NA,3.581,60.892857,3.444,45.669643,80.15,82.2,0,0,1,1,0,1,1,1,1,1,0,8,11,4,3,1686.06954432207,3294520000,11.1863409441066,42.4,52.073,79.0396423339844,5.61,17.27,3.037,1,0.334,1.803,0.364,0,1,3.855,"$3,140 - $1,220",1
Ghana-2016,Ghana,2016,NA,NA,NA,1,1,8.03088,8.4,3.767,85,3.436,83.90625,67.55,70.88,0,1,1,1,1,1,1,1,0,NA,0,8,15,4,3,1793.1808558184,3485333369.27964,17.4546347070868,43.5,54.749,79.0396423339844,5.61,NA,3.018,1,0.334,1.803,0.364,0,1,3.581,"$3,140 - $1,220",1
Ghana-2020,Ghana,2020,NA,NA,NA,1,1,NA,NA,2.959,NA,3.198,NA,78.89,81.07,0,0,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,4,2018.62406742516,1875782953.46905,9.88728956269943,NA,57.349,79.0396423339844,5.61,22.26,2.824,1,0.805,1.163,0.444,0,1,3.767,"$3,140 - $1,220",1
Guinea-2002,Guinea,2002,No,Yes,No,0,1,NA,NA,0.978,NA,0.389,NA,71.98,77.47,0,1,1,0,0,1,1,1,0,NA,0,-1,7,3,11,657.221781178507,30000000,NA,43,31.42,29.7040195465088,2.517,33.17,1.068,0,-0.173,-0.63,0,0,0,NA,"$1,220 - $627",3
Guinea-2003,Guinea,2003,Yes,No,No,1,0,NA,NA,0.978,NA,0.857,NA,82.76,97.38,0,1,1,0,0,1,1,1,0,NA,0,-1,8,3,11,652.730667697803,78966000,NA,NA,31.698,29.7040195465088,2.621,24.5,1.085,0,-0.173,-0.63,0,0,0,0.978,"$1,220 - $627",3
Guinea-2010,Guinea,2010,Yes,No,No,1,0,NA,NA,2.155,NA,1.095,NA,67.87,54.94,0,1,1,1,1,1,1,1,1,1,0,1,0,3,10,689.256688654773,0,15.4619810737553,NA,33.678,25.3077392578125,3.347,NA,1.215,1,-0.173,-0.189,0,0,0,0.978,"$1,220 - $627",3
Guinea-2013,Guinea,2013,NA,NA,NA,0,1,NA,5.5,2.117,34.375,1.459,54.6875,63.53,62.99,0,0,1,1,1,1,1,1,1,1,0,4,0,3,10,749.870076465839,189999.999999999,11.8878956127303,NA,34.545,32.0038414001465,3.347,31.67,1.456,1,-0.173,-0.001,0,0,0,2.155,"$1,220 - $627",3
Guinea-2015,Guinea,2015,NA,NA,NA,1,0,NA,4.75,2.106,45.390625,1.459,41.40625,68.36,68.03,0,1,1,1,1,1,1,1,1,1,0,4,2,3,10,769.255475432822,53272458.4212994,10.8206821245734,NA,35.141,39.6176795959473,3.347,33.08,1.692,1,-0.173,-0.001,0,0,0,2.117,"$1,220 - $627",3
Guinea-2020,Guinea,2020,NA,NA,NA,1,1,NA,NA,1.737,NA,1.185,NA,78.88,65.09,0,1,1,0,NA,1,1,1,1,1,NA,NA,NA,NA,10,984.008345016799,176350000,10.6018600008336,NA,36.875,39.6176795959473,3.347,34.34,0.878,1,-0.173,-0.097,0,0,0,2.106,"$1,220 - $627",3
Guinea-Bissau-2000,Guinea-Bissau,2000,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,1,1,1,0,NA,0,5,0,3,9,577.485664855301,702270.863,8.63632094930279,NA,36.243,41.3577690124512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$627 - $262,2
Guinea-Bissau-2004,Guinea-Bissau,2004,No,NA,No,0,1,NA,NA,2.858,NA,0.706,NA,74.34,65.21,0,1,0,1,1,1,1,1,0,NA,0,-1,1,3,8,552.284766541778,1915633.35188715,0.883302696930925,NA,37.772,45.5811614990234,NA,17,3.416,1,-0.5,0.511,0.5,0,0,NA,$627 - $262,2
Guinea-Bissau-2005,Guinea-Bissau,2005,Yes,No,No,1,0,NA,NA,2.824,NA,1.357,NA,87.63,66.84,0,0,0,1,1,1,1,1,0,NA,0,6,0,3,7,562.384855924713,8692468.08975684,3.32919922802853,NA,38.157,45.5811614990234,NA,14.5,3.245,1,-0.5,0.511,0.5,0,0,2.858,$627 - $262,1
Guinea-Bissau-2008,Guinea-Bissau,2008,No,Yes,No,0,1,NA,NA,3.137,NA,1.357,NA,82,64.25,0,1,1,1,1,1,1,1,1,1,0,6,3,3,8,569.952835515209,6630074.02775762,10.4600731354706,NA,39.325,45.5811614990234,NA,23.5,2.86,1,-0.5,0.511,0.5,0,0,2.824,$627 - $262,2
Guinea-Bissau-2009,Guinea-Bissau,2009,Yes,No,No,1,0,NA,NA,3.137,NA,1.357,NA,61.09,44.83,0,1,1,1,1,1,1,1,0,NA,0,6,4,4,8,574.470804651114,18890200,-1.65139733620775,NA,39.716,45.5811614990234,NA,18.25,3.084,1,-0.5,0.511,0.5,0,0,3.137,$627 - $262,2
Guinea-Bissau-2012,Guinea-Bissau,2012,Yes,No,No,1,0,NA,NA,2.192,NA,0.979,NA,55,NA,0,1,1,1,1,1,1,1,0,NA,0,1,0,3,11,590.266056354685,6624917.19274534,2.13054580274495,NA,40.908,45.5811614990234,NA,28.94,2.999,1,-0.5,0.511,0.5,0,0,3.137,$627 - $262,3
Guinea-Bissau-2014,Guinea-Bissau,2014,NA,NA,NA,1,1,NA,6.875,2.886,59.570312,0.904,56.953125,89.3,79.71,0,1,1,1,1,1,1,1,0,NA,0,6,0,4,10,583.566126204989,28852727.6882278,-1.50924460570499,NA,41.715,45.5811614990234,NA,28.7,2.796,1,-0.5,0.511,0.5,0,0,2.192,$627 - $262,3
Guinea-Bissau-2019,Guinea-Bissau,2019,NA,NA,NA,1,1,NA,NA,2.866,NA,2.724,NA,84.69,68.93,0,0,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,9,650.069382434149,71658680.3379902,0.246600268147853,NA,43.777,45.5811614990234,NA,30.95,2.76,1,-0.538,0.511,0.333,0,0,2.886,"$1,220 - $627",2
Ivory Coast-2000,Ivory Coast,2000,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ivory Coast-2001,Ivory Coast,2001,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ivory Coast-2010,Ivory Coast,2010,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ivory Coast-2011,Ivory Coast,2011,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ivory Coast-2012,Ivory Coast,2012,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ivory Coast-2015,Ivory Coast,2015,NA,NA,NA,NA,NA,NA,7.125,NA,64.33594,NA,70.97656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
